# Code Map: tcart.js

## Module Overview

Файл tcart.js (9104 строки) — скомпилированный Babel-бандл модуля корзины покупок платформы **Tilda** (блок ST100 / t706). Содержит полный цикл работы корзины: инициализацию, управление товарами, скидки, промокоды, авторизацию через Members, восстановление потерянных корзин, отрисовку UI (иконка, sidebar, fullscreen), работу с формой заказа, доставку и сетевое взаимодействие с Tilda Store API. ~42% файла занимают Babel runtime helpers.

---

## Top-level Inventory

### IIFE / Модули

| Type | Name | Line |
|------|------|------|
| IIFE | `t_cart__useRootZone` | 3836 |
| IIFE (enum) | `TCartServerLocation` | 3854 |
| IIFE (enum) | `RequestDataFormat` | 4043 |
| IIFE (enum) | `ResponseDataFormat` | 4052 |
| IIFE | `t_store__useTranslation` | 4394 |
| IIFE | `t_cart__loadDiscountsHook` | 4940 |

### Основные переменные

| Name | Line |
**Contains:** `tcart__openCart`, `tcart__closeCart`, `tcart__openCartFullscreen`, `tcart__closeCartFullscreen`, `tcart__openCartSidebar`, `tcart__closeCartSidebar`, `tcart__lockScroll`, `tcart__unlockScroll`, `tcart__keyUpFunc`

**Dependencies:** UI-отрисовка, DOM (классы body), утилиты (`tcart_fadeIn`, `tcart_fadeOut`)
**Side effects:** DOM (классы на `body`, `document`), globals (`window.tcart`)

---

### 🔐 Авторизация (Members)
**Responsibility:** Интеграция с Tilda Members: логин, регистрация, автозаполнение полей пользователя, выход.

**Contains:** `tcart__auth__init`, `tcart__auth__createWrapEl`, `tcart__auth__insertAuthEl`, `tcart__auth__createAuthEl`, `tcart__auth__createLoggedInEl`, `tcart__auth__onMembersLogout`, `tcart__auth__getMauser`, `tcart__auth__getMauserFromLS`, `tcart__auth__getUserFields`, `tcart__auth__fillUserFields`, `tcart__auth__clearUserFields`, `tcart__isAuthorized`, `tcart__initAuthAndDelivery`, `t_cart__loadMembersSettings`

**Dependencies:** API (`t_cart__loadMembersSettings`), localStorage (токен пользователя), DOM (форма)
**Side effects:** DOM (создание формы логина/регистрации), localStorage, globals (`window.mauser`)

---

### 📦 Доставка
**Responsibility:** Инициализация модуля доставки, добавление/обновление данных доставки, порог бесплатной доставки.

**Contains:** `tcart__initDelivery`, `tcart__addDelivery`, `tcart__updateDelivery`, `tcart__processDelivery`, `tcart__setFreeDeliveryThreshold`, `t_cart__loadDeliveryAssets`, `t_cart__loadСountryСodes`, `tcart__form__isDeliveryServicesActive`

**Dependencies:** Внешние скрипты (`tilda-delivery-1.0`), localStorage
**Side effects:** DOM (вставка скриптов/CSS), сеть (загрузка delivery assets), globals (`window.tcart_newDelivery`)

---

### 🏷️ Скидки и промокоды
**Responsibility:** Загрузка, расчёт и отображение скидок и промокодов.

**Contains:** `t_cart__loadDiscountsHook`, `tcart__loadDiscounts`, `tcart__addDiscountInfo`, `tcart__calcPromocode`, `tcart_ceil`, `tcart__getSubtotalDiscount`

**Dependencies:** API (загрузка скидок), localStorage, утилиты цен
**Side effects:** localStorage (кеш скидок), DOM (отрисовка инфо о скидках)

---

### 📋 Форма заказа
**Responsibility:** Управление формой заказа: валидация, блокировка/разблокировка полей, кнопка отправки.

**Contains:** `tcart__form__getForm`, `tcart__form__getFields`, `tcart__form__disableFormFields`, `tcart__form__hideFormFields`, `tcart__form__hideErrors`, `tcart__form__showFormFields`, `tcart__form__insertValidateRule`, `tcart__handleSaveFieldsOnCheckout`, `tcart__handleSubmitButton`, `tcart__saveFieldsOnCheckout`, `tcart__fillRestoredCartForm`, `tcart__blockSubmitButton`, `tcart__unblockSubmitButton`, `tcart__blockAndDelayUnblockSubmitOnResponse`, `tcart__blockCartUI`, `tcart__unblockCartUI`, `tcart__blockSidebarContinueButton`, `tcart__unblockSidebarContinueButton`, `tcart__changeSubmitStatus`

**Dependencies:** DOM (элементы формы)
**Side effects:** DOM (модификация формы, блокировка кнопок), timers (3с задержка разблокировки)

---

### 🔄 Восстановление корзины (Lost Cart)
**Responsibility:** Восстановление потерянной корзины по URL `#!/torder/...`, диалог «очистить/добавить».

**Contains:** `tcart__getLostCart`, `tcart__clearLostCartUrl`, `tcart__restoreLostCart`, `tcart__saveRestoredProducts`, `tcart__openRestoredCart`, `tcart__showClearCartDialog`, `tcart__showWrongOrderPopup`, `tcart__getProductsInfoById`, `t_cart__loadRestoreFieldsScript`, `t_cart__loadLostCartStyles`

**Dependencies:** API (`tcart__getProductsInfoById`), UI-отрисовка, localStorage
**Side effects:** DOM (диалоги), сеть (API-запросы), URL (очистка хеша), localStorage

---

### 🎯 Обработка событий
**Responsibility:** Навешивание и обработка кликов по кнопкам `#order`, +/-/del, выбор оплаты, Escape.

**Contains:** `tcart__addEvents`, `tcart__addEvent__links`, `tcart__addEvents__forProducts`, `tcart__addEvent__selectpayment`, `tcart__keyUpFunc`

**Dependencies:** Управление товарами, UI, форма заказа
**Side effects:** DOM (event listeners на `document`, кнопки, ссылки)

---

### 🔧 Утилиты
**Responsibility:** Общие вспомогательные функции: форматирование, экранирование, анимации, debounce.

**Contains:** `tcart__escapeHtml`, `tcart__escapeHtmlImg`, `tcart__cleanPrice`, `tcart__roundPrice`, `tcart__showWeight`, `tcart__showPrice`, `tcart__nullObj`, `tcart__isEmptyObject`, `tcart__clearProdUrl`, `tcart__onFuncLoad`, `tcart_fadeOut`, `tcart_fadeIn`, `tcart__decodeHtml`, `tcart__debounce`, `tcart__getRootZone`, `tcart__getLkpSettings`, `t_triggerEvent`, `t706_onSuccessCallback`, `t706_slideUp`

**Dependencies:** нет внешних
**Side effects:** нет

---

### ⚙️ Загрузка внешних ресурсов
**Responsibility:** Динамическая загрузка CSS/JS файлов и ожидание готовности глобальных функций.

**Contains:** `t_store__useExternalFunction`, `t_store__useExternalCSSFile`, `t_store__useExternalJsFile`, `t_catalog__getStaticHost`

**Dependencies:** DOM (`<script>`, `<link>`)
**Side effects:** DOM (вставка `<script>`, `<link>`), timers (polling)

---

## ⚠️ Unclear / Needs Review

1. **`tcart__addEvent__links` (~400 строк)** — слишком длинная функция, обрабатывающая клики по `#order` ссылкам. Внутри может быть сложная логика маршрутизации, которая требует детальной трассировки.
2. **`tcart__init`** — главная точка входа, но её точная последовательность вызовов не полностью трассирована (зависит от множества условий: авторизация, доставка, скидки, lost cart).
3. **`tcart__updateTotalProductsinCartObj`** — пересчёт сумм корзины, может содержать нетривиальную логику промокодов/скидок.
4. **Опечатка**: `t_cart__loadСountryСodes` — кириллические «С» вместо латинских «C» в имени функции.
5. **Глобальное состояние**: `window.tcart` используется повсеместно как глобальный стейт — нет модульной инкапсуляции.
6. **Взаимодействие с внешними модулями**: ожидание загрузки `tcart__calcAmountWithDiscounts`, `tcart_newDelivery`, `tcart__restoreFields` через `t_store__useExternalFunction` — фактическое поведение зависит от внешних скриптов.
# Code Map: tdelivery.js

## Module Overview

Файл tdelivery.js (9407 строк) — скомпилированный Babel-бандл модуля **доставки** платформы Tilda. Ядром является объект `tcart_newDelivery` (~3300 строк), реализующий полный цикл оформления доставки: геолокация, автокомплит адресов через API, интеграция с Яндекс Картами, расчёт стоимости, выбор пунктов выдачи, сохранение/восстановление адресов. ~40% файла занимают Babel runtime helpers.

---

## Top-level Inventory

### IIFE / Модули

| Type | Name | Line |
|------|------|------|
| IIFE | `t_cart__useRootZone` | 1 |
| IIFE (enum) | `TCartServerLocation` | 20 |
| IIFE | `t_store__useTranslation` | 4457 |
| IIFE (class) | `DeliveryAvailableCountries` | 5147 |
| IIFE (object) | `tcart_newDelivery` | 5268 |
| IIFE (class) | `TCartSelect` | 9294 |

### Классы

| Name | Line |
|------|------|
| `DeliveryAvailableCountries` (Singleton) | 5147–5267 |
| `TCartSelect` (кастомный dropdown) | 9294–9407 |

### Основные переменные

| Name | Line |
|------|------|
| `parseResponse` | 3883 |
| `fetchWithRedirectHandling` | 3908 |
| `t_store__fetchApiData` | 3927 |
| `t_store__fetchData` | 3957 |
| `RequestDataFormat` | 4017 |
| `ResponseDataFormat` | 4024 |
| `t_cart__loadLastDeliveries` | 4125 |
| `enTranslation` + компоненты | 4166–4232 |
| `ruTranslation` + компоненты | 4273–4339 |
| `TCART_TRANSLATION_*`, `T_CART_*` | 4370–4400 |
| `T_CART_PRELOADED_LANGS` | 4401 |
| `t_cart__loadLkpSettings` | 4534 |
| `t_cart__loadProductsInfoById` | 4572 |
| `t_cart__loadProductsPrices` | 4625 |
| `LS_ERROR_TEXT` | 4652 |
| `t_cart__loadLastOrderFields` | 4773 |
| `T_STORE_USE_EXTERNAL_FUNCTION_TIMEOUT` | 4833 |
| `t_store__useExternalCSSFile` | 4835 |
| `t_store__useExternalJsFile` | 4872 |
| `t_cart__loadMembersSettings` | 4896 |
| `t_cart__loadDiscountsScript` | 5034 |
| `DISCOUNTS_FILE_NAME` … константы | 5046–5054 |
| `t_catalog__getStaticHost` | 5061 |
| `t_cart__loadСountryСodes` | 5107 |
| `DeliveryAvailableCountries` | 5147 |
| `tcart_newDelivery` | 5268 |
| `TCartSelect` | 9294 |

### Основные функции

| Name | Line |
|------|------|
| `t_cart__getServerName` | 24 |
| `t_cart__getServer2Name` | 28 |
| `t_cart__getStoreEndpointUrl` | 3853 |
| `t_cart__getStore2EndpointUrl` | 3857 |
| `determineContentType` | 4031 |
| `getQueryString` | 4045 |
| `handleRootzoneRedirect` | 4064 |
| `t_cart__getMauser` | 4093 |
| `t_cart__getMembersToken` | 4104 |
| `t_cart__createProductInfoResponseStub` | 4565 |
| `t_cart__checkProduct` | 4622 |
| `t_cart__loadCartData` | 4654 |
| `t_cart__getDataFromLS` | 4660 |
| `t_cart__saveCartDataToLS` | 4668 |
| `t_cart__createDefaultCartData` | 4684 |
| `t_cart__isCartExpired` | 4702 |
| `t_cart__cleanCartProducts` | 4715 |
| `t_cart__getPageSettings` | 4729 |
| `t_cart__applyPageSettings` | 4747 |
| `t_cart__createTimestamp` | 4762 |
| `t_cart__loadDiscountsHook` | 4940 |
| `t_cart__loadDeliveryAssets` | 5064 |
| `t_cart__loadRestoreFieldsScript` | 5074 |
| `t_cart__loadLostCartStyles` | 5081 |
| `t_cart__loadFullscreenStyles` | 5087 |
| `t_cart__loadWidgetPositionsScript` | 5093 |
| `t_delivery__dict` | 8575 |
| `t_delivery__declensionOfNumber` | 9094 |
| `t_delivery__showPrice` | 9099 |
| `t_delivery__getDeliveryInputByKey` | 9118 |
| `t_triggerEvent` | 9134 |
| `t_delivery__replaceUnicode` | 9138 |
| `t_delivery__loadJSFile` | 9157 |
| `t_delivery__getRootZone` | 9170 |

### Глобальные объекты, записываемые в `window`

| Name | Line |
|------|------|
| `window.tcart__errorHandler` | 9174 |
| `window.tcart__inputErrorHandler` | 9199 |
| `window.t_delivery__autocompleteFields` | 9212 |
| `window.t_delivery__lang` | 9231 |
| `window.tcart__preloader` | 9246 |
| `window.tcart__chosePointOnMap` | ~6080 |
| `window.tcart_newDeliveryActive` | 5314 |
| `window.t_delivery__map` | ~5974 |

### Babel runtime helpers (~130 функций, строки 32–3852)

`_OverloadYield`, `_applyDecoratedDescriptor`, `_applyDecs2311`, `_regeneratorRuntime`, `_classCallCheck`, `_createClass`, `_extends`, `_objectSpread2`, `_wrapRegExp`, `_dispose`, `_using`, и др.

---

## Groups

### 🌐 Сетевая инфраструктура и API
**Responsibility:** HTTP-запросы к Tilda Store API, управление серверными URL, обработка редиректов между TLD-зонами, парсинг ответов.

**Contains:** `t_cart__getServerName`, `t_cart__getServer2Name`, `t_cart__getStoreEndpointUrl`, `t_cart__getStore2EndpointUrl`, `parseResponse`, `fetchWithRedirectHandling`, `t_store__fetchApiData`, `t_store__fetchData`, `determineContentType`, `getQueryString`, `handleRootzoneRedirect`, `RequestDataFormat`, `ResponseDataFormat`

**Dependencies:** DOM (`data-tilda-root-zone`), `fetch` API
**Side effects:** Сеть (HTTP), globals (`window`)

---

### 🌍 Переводы / i18n
**Responsibility:** Локализация интерфейса доставки на 13+ языков.

**Contains:** `t_store__useTranslation`, `t_delivery__dict`, `enTranslation`, `ruTranslation`, `T_CART_PRELOADED_LANGS`, константы перевода

**Dependencies:** Сетевой слой (CDN)
**Side effects:** Сеть (загрузка переводов)

---

### 💾 Данные корзины (общие утилиты)
**Responsibility:** Общие для корзины и доставки утилиты работы с localStorage и данными.

**Contains:** `t_cart__loadCartData`, `t_cart__getDataFromLS`, `t_cart__saveCartDataToLS`, `t_cart__createDefaultCartData`, `t_cart__isCartExpired`, `t_cart__cleanCartProducts`, `t_cart__getPageSettings`, `t_cart__applyPageSettings`, `t_cart__createTimestamp`, `t_cart__loadLkpSettings`, `t_cart__loadProductsInfoById`, `t_cart__loadProductsPrices`, `t_cart__loadLastOrderFields`, `t_cart__loadLastDeliveries`

**Dependencies:** API, localStorage, DOM
**Side effects:** localStorage, globals (`window.tcart`)

---

### 📦 Ядро доставки — `tcart_newDelivery`
**Responsibility:** Полный движок доставки: геолокация, автокомплит адресов, Яндекс Карты, расчёт стоимости, пункты выдачи, сохранение адресов.

**Contains:** объект `tcart_newDelivery` с методами:

- **Инициализация:** `init`, `updateProjectId`
- **Город:** `setCityState`, `setCityInput`, `getCityFromGeo`, `getCityFromGeoWithFailHandler`, `getCityCoordinates`
- **Восстановление:** `restoreFromLastOrder`, `restoreFromLS`, `restoreTcartDelivery`, `saveDelivery`, `saveTcartDelivery`, `renderSavedAddressesSelect`
- **API:** `getServices`, `getPayTypes`, `getPickupList`, `getDeliveryPrice`, `getAddresses`, `changeEndpoint`, `updateDeliveryPrice`
- **UI:** `renderRegionFields`, `renderAddressFields`, `renderServices`, `renderFullAddressNode`, `createInput`, `createRadio`, `createTitle`, `createSelect`, `createSearchbox`, `fillSearchList`, `setPostalCodeInput`, `setHashInput`, `setFullAddress`, `getFullAddress`, `getFullAddressHtml`
- **Яндекс Карты:** `mapAppendScript`, `mapInit`, `mapAddPoints`
- **Searchbox:** `searchboxInit`, `clickSearchboxInputHandler`, `changeSearchboxInputHandler`, `choseSearchListItemHandler`, `focusoutSearchboxInputHandler`
- **События:** `changeDeliveryTypeListener`, `changeCartInputsHandler`, `onAddressChange`, `changePickupHandler`, `hidePaymentMethod`
- **Утилиты:** `getInputFields`, `getInputValues`, `hideFieldsErrors`, `disableChoseServiceControls`, `enableChoseServiceControls`, `clearDeliveryFields`, `clearHouseInput`, `clearAddressSelect`, `updateTotal`, `showPickupInfo`, `hidePickupInfo`

**Dependencies:** API (geoservice, delivery endpoints), Яндекс Карты API, localStorage, DOM, `DeliveryAvailableCountries`, `TCartSelect`
**Side effects:** DOM (массовое создание элементов), сеть (API геолокации, доставки, Яндекс Карты), localStorage, sessionStorage, globals (`window.t_delivery__map`, `window.tcart__chosePointOnMap`, `window.tcart_newDeliveryActive`, `window.savedAddressesSelect`), timers (debounce на searchbox)

---

### 🗺 DeliveryAvailableCountries (Singleton)
**Responsibility:** Кеширование и проверка доступных стран доставки с TTL 24 часа.

**Contains:** `DeliveryAvailableCountries` — `getInstance()`, `onStateChange()`, `checkAvailableCountries()`, геттер `state`

**Dependencies:** API (загрузка стран), localStorage
**Side effects:** localStorage (кеш стран), сеть (API-запрос при отсутствии кеша)

---

### 🎨 UI-компоненты
